,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,greedy,unknoting_number,MaskablePPO,PPO
21,-2,-2,-2,-2,-2,2,2,-2,2,2,-1,1,-1,1,2,1,1,1,1,-2,3,3,7,9
22,-2,-2,-2,-2,-2,2,2,2,-2,-1,1,-1,1,-1,-2,-1,2,-1,2,-2,3,3,5,11
23,-2,-2,-2,-2,-1,-2,-1,-1,-1,2,1,1,2,-2,2,1,-2,-1,-2,-2,4,4,10,10
24,-2,-2,-2,-2,-1,-2,-1,-1,1,-2,-1,2,-1,-2,2,-2,-1,-1,2,-1,6,6,6,12
25,-2,-2,-2,-2,-1,-2,-1,2,1,1,-2,-1,2,-2,2,-1,-1,-1,2,-2,6,6,8,12
26,-2,-2,-2,-2,-1,-2,1,-1,1,-2,1,2,1,-1,1,2,2,-2,-2,-1,2,2,6,14
27,-2,-2,-2,-2,-1,-2,1,1,2,-1,2,1,1,-1,2,-2,-1,-2,-2,2,2,2,4,8
28,-2,-2,-2,-2,-1,-2,2,-2,-2,-1,-2,-2,-1,-1,1,-2,1,-1,2,1,103,5,5,7
29,-2,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,1,1,2,-2,-2,2,-2,1,5,5,9,7
30,-2,-2,-2,-2,-1,-1,1,-2,2,-1,2,-2,1,2,-1,-2,-2,-1,-2,-1,5,5,7,13
31,-2,-2,-2,-2,-1,-1,1,-1,2,1,2,1,1,1,-2,-1,2,2,1,1,3,3,7,11
32,-2,-2,-2,-2,-1,-1,2,-1,1,1,-2,2,-1,-1,-2,1,-2,-1,-2,-2,5,5,5,11
33,-2,-2,-2,-2,-1,1,-2,-1,-2,-1,-1,1,1,-1,2,1,2,2,-2,-2,3,3,11,3
34,-2,-2,-2,-2,-1,1,1,-1,-2,2,2,-1,2,-1,1,-1,-2,1,1,-1,4,4,8,12
35,-2,-2,-2,-2,-1,1,2,2,-1,-2,2,1,-1,2,-2,1,2,-1,1,-2,1,1,5,1
36,-2,-2,-2,-2,-1,2,-2,-1,-2,2,-2,1,2,-1,2,2,2,2,-2,1,5,5,9,7
37,-2,-2,-2,-2,-1,2,-2,1,-1,-1,2,2,-1,-2,1,1,-1,1,2,1,1,1,9,3
38,-2,-2,-2,-2,-1,2,-1,1,-2,-1,-1,-1,-2,-1,2,-2,1,2,-2,2,6,4,6,4
39,-2,-2,-2,-2,-1,2,-1,1,-1,2,-1,-2,2,-1,2,1,-2,-2,-2,-1,6,4,8,6
40,-2,-2,-2,-2,-1,2,1,-1,-1,2,1,1,2,1,2,-2,2,-1,-1,-1,5,5,5,9
41,-2,-2,-2,-2,-1,2,1,1,2,1,-2,2,-2,-1,-1,1,-2,2,-1,-2,2,2,8,2
42,-2,-2,-2,-2,-1,2,2,1,-1,-1,-2,-1,1,2,2,1,2,1,-2,1,4,4,6,10
43,-2,-2,-2,-2,-1,2,2,2,2,-2,2,-1,-1,-1,-1,-1,-2,1,1,2,8,8,8,10
44,-2,-2,-2,-2,1,-2,-2,1,-1,1,-1,-1,-2,1,-2,-1,-2,1,1,1,103,5,7,7
45,-2,-2,-2,-2,1,-2,-1,2,-2,-1,2,-1,2,2,2,2,1,1,-2,2,2,2,6,10
46,-2,-2,-2,-2,1,-1,-1,1,1,2,-2,2,-1,-1,2,-2,1,2,-1,-2,4,4,6,8
47,-2,-2,-2,-2,1,-1,-1,2,1,-2,-2,-2,1,-2,1,-1,-2,-1,-1,2,6,4,4,4
48,-2,-2,-2,-2,1,-1,1,-1,2,2,-1,-2,-2,-2,1,-2,-1,-1,1,-2,4,4,6,10
49,-2,-2,-2,-2,1,1,-2,-2,-1,-2,1,2,-2,1,2,-2,1,-2,-1,-2,3,3,11,5
50,-2,-2,-2,-2,1,1,-2,-1,2,1,1,-2,-1,-2,2,-2,-2,1,-1,2,4,4,6,8
51,-2,-2,-2,-2,1,1,-2,1,-1,-1,-2,2,1,-1,-1,1,1,-2,-1,1,4,4,6,8
52,-2,-2,-2,-2,1,1,-1,1,-2,-2,1,-1,1,2,-1,2,-2,-1,2,1,7,7,7,7
53,-2,-2,-2,-2,1,1,-1,2,-2,-2,2,-1,2,-2,-1,1,2,-2,-2,-2,3,3,5,3
54,-2,-2,-2,-2,1,1,-1,2,-1,-1,-2,2,1,2,-1,2,-1,-1,1,1,3,3,13,3
55,-2,-2,-2,-2,1,1,-1,2,2,-1,2,-2,-1,-2,-2,1,-2,2,1,1,5,5,7,9
56,-2,-2,-2,-2,1,1,2,1,-2,-2,-1,-1,2,2,1,1,-1,-2,1,-1,3,3,7,11
57,-2,-2,-2,-2,1,2,-2,-2,1,1,1,1,2,2,-1,-2,-1,1,1,-2,4,4,8,10
58,-2,-2,-2,-2,1,2,-2,-1,2,-1,2,-2,-1,1,1,2,1,1,-2,-2,3,3,5,7
59,-2,-2,-2,-2,1,2,-1,1,2,-2,-1,2,-2,-1,-2,1,1,1,2,2,4,4,6,6
60,-2,-2,-2,-2,1,2,1,-2,-2,2,2,2,1,1,-2,2,1,2,-1,1,6,4,6,8
61,-2,-2,-2,-2,1,2,2,-1,-1,-1,2,-2,1,-1,-2,2,2,1,-1,2,3,3,3,7
62,-2,-2,-2,-2,1,2,2,2,1,-2,1,-2,2,2,-1,-1,-1,-1,-1,1,5,5,11,11
63,-2,-2,-2,-2,1,2,2,2,2,-1,-1,1,2,-2,1,1,-1,-1,-2,-2,5,5,5,11
64,-2,-2,-2,-2,1,2,2,2,2,1,-1,-1,2,1,-2,-1,-2,1,-2,2,4,4,6,4
65,-2,-2,-2,-2,2,-2,-2,-1,2,-2,2,-1,2,2,-2,-1,2,-1,1,-2,3,3,3,13
66,-2,-2,-2,-2,2,-2,-1,-2,-1,1,2,2,-2,2,-2,-2,-2,1,-1,-1,4,4,4,6
67,-2,-2,-2,-2,2,-2,-1,-1,-1,2,2,2,-1,-2,1,2,1,2,-2,-1,6,6,6,12
68,-2,-2,-2,-2,2,-2,2,-1,1,-1,1,1,2,-1,-1,2,-1,2,-1,-1,4,4,4,12
69,-2,-2,-2,-2,2,-1,-2,2,-1,2,2,1,2,2,2,-2,1,-2,-2,-2,3,3,5,9
70,-2,-2,-2,-2,2,-1,-1,-2,-2,-2,-1,-1,-2,-2,2,-1,2,-2,1,2,5,5,5,9
71,-2,-2,-2,-2,2,-1,1,1,-1,-2,-1,2,-2,-2,2,2,2,1,-1,1,3,3,5,7
72,-2,-2,-2,-2,2,-1,1,1,1,-2,1,1,1,-2,-2,1,2,2,-2,-2,4,4,6,12
73,-2,-2,-2,-2,2,-1,2,2,-2,1,2,2,1,-1,2,-2,1,2,1,-2,3,3,101,3
74,-2,-2,-2,-2,2,1,-1,1,-2,1,2,-2,-1,-2,2,1,-2,-1,2,2,1,1,1,3
75,-2,-2,-2,-2,2,1,-1,1,1,2,-1,-1,-2,1,1,2,1,1,2,-2,3,3,5,9
76,-2,-2,-2,-2,2,1,1,-2,-2,1,-2,1,-2,1,1,1,-1,-1,-1,-1,4,4,8,10
77,-2,-2,-2,-2,2,1,1,-2,1,2,-2,1,2,-2,-1,-1,-2,-2,1,-1,4,4,4,8
78,-2,-2,-2,-2,2,1,1,-1,-2,-1,-1,-2,-2,-1,-2,-1,1,-2,-2,-1,6,6,12,6
79,-2,-2,-2,-2,2,1,1,2,-1,2,2,-2,-2,1,-1,2,2,-2,2,1,3,3,5,3
80,-2,-2,-2,-2,2,1,2,-1,2,-1,1,1,2,-2,-1,-1,-1,-1,-2,-2,5,5,9,13
81,-2,-2,-2,-2,2,2,-2,-2,-1,1,-1,1,-2,-2,2,2,1,1,-1,1,3,3,5,5
82,-2,-2,-2,-2,2,2,-1,-1,-1,2,-2,-2,-1,1,2,1,-2,-2,2,2,2,2,4,2
83,-2,-2,-2,-2,2,2,-1,1,2,-1,1,2,1,-2,-2,-2,2,2,-2,-1,1,1,5,5
84,-2,-2,-2,-2,2,2,-1,2,-2,1,-2,-2,2,1,2,1,-2,-1,1,-1,1,1,3,1
85,-2,-2,-2,-2,2,2,-1,2,1,2,2,-2,1,1,2,-1,1,1,-2,1,2,2,6,10
86,-2,-2,-2,-2,2,2,1,-2,2,2,-2,-1,2,-2,-1,-1,2,2,1,-1,1,1,3,11
87,-2,-2,-2,-2,2,2,2,-1,-1,-2,1,1,-2,1,-1,-1,-1,1,1,2,3,3,5,7
88,-2,-2,-2,-1,-2,-2,-2,-1,2,2,1,1,2,1,1,2,2,1,-1,-1,4,4,6,10
89,-2,-2,-2,-1,-2,-2,-2,2,-2,1,2,1,1,-1,2,1,2,2,1,-2,2,2,6,8
90,-2,-2,-2,-1,-2,-2,-1,-1,1,2,2,1,-1,2,-2,2,2,2,2,2,103,4,6,6
91,-2,-2,-2,-1,-2,-2,2,-2,2,-1,2,1,-2,-2,-1,1,-2,1,1,2,4,4,6,12
92,-2,-2,-2,-1,-2,-1,-2,-1,1,-1,2,-2,1,-2,1,-1,1,1,2,-1,5,3,3,15
93,-2,-2,-2,-1,-2,-1,-2,2,-2,-2,1,-2,-1,1,-2,-2,-1,-1,-1,2,8,6,6,8
94,-2,-2,-2,-1,-2,-1,-2,2,-1,-1,1,-2,1,-2,-2,1,2,2,1,-2,5,5,9,11
95,-2,-2,-2,-1,-2,-1,-1,-2,2,-1,-2,-1,-1,1,-1,2,-1,1,-2,1,5,5,11,9
96,-2,-2,-2,-1,-2,-1,-1,-1,-1,2,2,2,2,-2,-1,-1,1,1,1,2,4,4,6,6
97,-2,-2,-2,-1,-2,-1,-1,-1,2,1,2,2,-2,-2,-1,-1,2,-2,-1,1,4,4,8,8
98,-2,-2,-2,-1,-2,-1,1,-1,-1,-2,-1,1,1,2,1,2,1,-2,1,-2,4,4,6,12
99,-2,-2,-2,-1,-2,-1,1,-1,1,2,-2,-2,-2,-1,2,1,-1,-1,-1,1,4,4,34,4
100,-2,-2,-2,-1,-2,-1,2,-1,1,1,-2,1,-2,2,-2,-1,-1,-1,-2,-1,5,5,7,15
101,-2,-2,-2,-1,-2,1,-1,-2,1,-2,-2,-1,-2,-2,-2,-1,1,-1,-2,1,6,6,10,10
102,-2,-2,-2,-1,-2,1,1,-2,-2,-2,-1,2,-2,-2,-1,2,-1,-1,-2,1,103,5,11,7
103,-2,-2,-2,-1,-2,1,1,-2,2,-2,-2,1,2,-1,-2,2,2,-1,1,2,3,3,5,9
104,-2,-2,-2,-1,-2,1,1,-1,-2,2,2,-2,2,-2,-2,-1,2,-2,2,2,103,2,4,101
105,-2,-2,-2,-1,-2,1,1,1,-2,2,1,1,1,-2,2,-2,-2,2,1,2,3,3,7,7
106,-2,-2,-2,-1,-2,1,1,1,-1,-2,2,2,-1,1,-1,-2,-2,-2,-1,-1,4,4,8,8
107,-2,-2,-2,-1,-2,2,-2,-2,-1,-2,-2,-1,1,1,2,1,2,1,1,-1,2,2,6,12
108,-2,-2,-2,-1,-2,2,-1,-2,-2,-1,2,2,-1,-2,2,-1,-1,-2,2,-2,103,7,9,9
109,-2,-2,-2,-1,-2,2,-1,-1,-1,1,-1,-1,-2,2,2,2,-1,1,1,2,4,4,6,6
110,-2,-2,-2,-1,-2,2,2,-1,-1,-2,-1,-1,-2,-1,-1,1,-1,-2,-1,-2,103,7,9,9
111,-2,-2,-2,-1,-2,2,2,1,-1,-1,1,1,-1,2,1,-2,2,1,-1,-2,3,3,5,9
112,-2,-2,-2,-1,-2,2,2,1,-1,1,1,2,1,-2,2,2,2,-1,1,2,2,2,6,2
113,-2,-2,-2,-1,-2,2,2,2,1,-2,1,-2,1,2,-2,2,-1,2,-1,1,4,4,6,6
114,-2,-2,-2,-1,-1,-2,-2,-1,-1,-1,2,2,-2,-1,1,1,2,1,-2,2,5,5,5,5
115,-2,-2,-2,-1,-1,-2,-2,2,-2,-2,-2,-1,2,1,-2,-2,-1,-2,-1,2,8,6,10,8
116,-2,-2,-2,-1,-1,-2,-2,2,2,-1,-2,-2,-2,-1,-1,-1,2,1,1,-1,103,5,11,11
117,-2,-2,-2,-1,-1,-2,-1,2,-2,2,-1,2,2,-1,2,-1,2,1,-1,2,2,2,6,8
118,-2,-2,-2,-1,-1,-2,2,-1,-1,1,2,2,1,1,2,-2,1,-2,1,-1,3,3,3,11
119,-2,-2,-2,-1,-1,-2,2,2,1,-1,1,1,-1,-2,1,-2,2,2,1,-2,3,3,5,5
120,-2,-2,-2,-1,-1,-2,2,2,1,1,2,-2,-1,-1,1,1,1,-1,-1,-1,2,2,6,2
121,-2,-2,-2,-1,-1,-1,-1,-2,2,-2,-2,-1,2,1,-2,1,-1,1,-1,-1,7,5,5,7
122,-2,-2,-2,-1,-1,-1,-1,1,-2,-1,1,2,1,-1,-2,2,1,2,-1,-1,5,3,3,7
123,-2,-2,-2,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-2,1,-2,-1,-2,-2,6,6,8,8
124,-2,-2,-2,-1,-1,-1,-1,1,1,2,-1,2,2,-1,-1,2,-2,1,2,-2,2,2,8,8
125,-2,-2,-2,-1,-1,-1,1,-1,1,2,-2,-2,-1,-2,2,2,-2,-1,1,-1,4,4,4,10
126,-2,-2,-2,-1,-1,-1,2,1,-2,-1,-1,1,1,-2,1,1,-2,1,-1,-1,7,3,5,11
127,-2,-2,-2,-1,-1,-1,2,1,2,-1,2,1,-2,2,-1,2,-2,-2,-2,-2,3,3,3,11
128,-2,-2,-2,-1,-1,-1,2,2,2,-2,1,2,-1,1,2,2,-2,-2,-2,2,3,3,3,7
129,-2,-2,-2,-1,-1,-1,2,2,2,2,2,1,2,-1,2,2,-2,2,1,-1,5,3,11,3
130,-2,-2,-2,-1,-1,1,-2,1,-1,-1,1,-2,-1,1,-1,-2,1,2,2,-1,3,3,7,9
131,-2,-2,-2,-1,-1,1,-1,1,2,-2,-2,1,-2,-1,1,-2,-2,1,-1,1,3,3,7,9
132,-2,-2,-2,-1,-1,1,2,-1,-2,2,-1,2,2,2,-1,-1,1,-2,2,-2,6,6,10,6
133,-2,-2,-2,-1,-1,2,-2,-2,1,-1,1,-1,-1,1,-1,-1,-2,2,2,-2,4,4,6,6
134,-2,-2,-2,-1,-1,2,-1,-2,-2,-2,-1,2,-1,-1,-2,2,2,1,2,1,5,5,13,7
135,-2,-2,-2,-1,-1,2,-1,1,2,1,-2,1,2,1,1,2,1,2,1,2,3,3,3,7
136,-2,-2,-2,-1,-1,2,1,1,-1,2,-1,2,-1,-2,-1,-1,1,-1,1,1,4,4,8,6
137,-2,-2,-2,-1,-1,2,2,-2,-2,2,2,2,1,2,-1,2,1,-2,-2,2,102,4,6,10
138,-2,-2,-2,-1,-1,2,2,-2,2,2,-2,-1,-2,-2,2,2,1,-1,-1,2,2,2,6,8
139,-2,-2,-2,-1,-1,2,2,-1,-2,1,1,-1,1,2,-1,-1,1,2,-2,2,3,3,7,5
140,-2,-2,-2,-1,-1,2,2,-1,-1,2,2,1,-2,2,2,-1,1,-2,-1,-2,2,2,8,6
141,-2,-2,-2,-1,1,-2,-2,-2,1,-1,2,-1,-2,2,1,-2,1,-1,-1,-1,4,4,4,14
142,-2,-2,-2,-1,1,-2,-2,-1,2,2,2,-1,2,1,2,2,1,2,-2,1,5,5,7,7
143,-2,-2,-2,-1,1,-2,-2,1,2,1,-1,-2,-2,-2,-2,-1,1,1,2,-1,7,5,5,11
144,-2,-2,-2,-1,1,-2,-1,1,-1,2,2,1,-2,1,-2,2,1,1,-1,-2,5,5,7,7
145,-2,-2,-2,-1,1,-2,-1,2,2,-1,2,2,2,2,-2,2,1,2,-2,-1,2,2,6,6
146,-2,-2,-2,-1,1,-2,1,-1,-1,2,1,2,1,2,2,-1,1,2,1,-1,1,1,3,9
147,-2,-2,-2,-1,1,-2,2,-2,-1,2,-1,2,1,2,-1,-1,2,1,1,-2,5,5,7,11
148,-2,-2,-2,-1,1,-1,-2,-1,-1,2,2,2,1,2,1,2,1,2,1,2,4,4,8,10
149,-2,-2,-2,-1,1,-1,1,2,2,2,1,1,-2,-2,-1,-2,-2,1,1,-1,3,3,7,9
150,-2,-2,-2,-1,1,-1,2,-1,-1,-1,-2,1,1,-1,-1,2,1,2,1,2,3,3,7,9
151,-2,-2,-2,-1,1,1,-2,-2,-1,-1,-2,-1,2,2,2,-1,-1,-2,-2,-1,7,5,9,11
152,-2,-2,-2,-1,1,1,-2,1,-1,1,-1,-1,-2,-2,1,-2,1,2,1,-1,2,2,4,2
153,-2,-2,-2,-1,1,1,-2,2,-2,-2,2,1,1,-1,-2,-1,1,-2,2,-1,2,2,4,12
154,-2,-2,-2,-1,1,1,-2,2,1,-1,1,-2,-2,1,-1,-2,2,-2,-2,-2,5,5,5,9
155,-2,-2,-2,-1,1,1,-1,-1,2,-1,1,-1,-1,1,1,-2,-2,1,2,-1,2,2,4,12
156,-2,-2,-2,-1,1,1,1,-2,-1,-2,-2,1,-2,-2,2,2,-1,1,2,2,1,1,5,1
157,-2,-2,-2,-1,1,1,1,1,2,2,2,-2,-2,-2,-1,-1,-2,2,-1,2,1,1,5,5
158,-2,-2,-2,-1,1,1,1,2,-1,2,-1,-2,2,-2,1,-1,-2,2,1,-2,5,5,5,11
159,-2,-2,-2,-1,1,1,2,-1,-2,1,-2,-1,-1,2,2,2,2,-2,-2,2,3,3,9,3
160,-2,-2,-2,-1,1,2,-2,1,-1,1,1,-2,2,1,2,2,-1,2,-2,-2,4,4,8,6
161,-2,-2,-2,-1,1,2,-1,-1,-1,2,1,-1,-1,2,1,-1,-2,-2,1,-2,5,5,7,13
162,-2,-2,-2,-1,1,2,-1,1,1,1,2,-1,-2,1,1,-1,-2,-2,2,1,2,2,8,10
163,-2,-2,-2,-1,1,2,1,1,2,-2,-1,2,-1,-2,2,-2,1,1,-1,2,2,2,6,10
164,-2,-2,-2,-1,1,2,2,-1,1,-1,-2,1,2,-1,2,1,1,2,-1,1,3,3,7,11
165,-2,-2,-2,-1,2,-2,-2,-2,2,-1,2,-2,-1,2,-1,2,2,-2,-1,1,3,3,7,9
166,-2,-2,-2,-1,2,-2,-1,-1,-2,1,2,-1,-2,-2,2,-1,1,-2,-2,2,103,4,4,12
167,-2,-2,-2,-1,2,-2,1,-2,-1,-1,-2,-2,-2,-1,-2,-2,1,-2,2,-2,6,6,6,12
168,-2,-2,-2,-1,2,-2,1,2,-1,-2,-1,2,-2,1,-1,-2,2,1,2,1,1,1,1,7
169,-2,-2,-2,-1,2,-2,2,1,-2,1,-2,2,1,2,1,2,-2,2,-1,-2,4,4,10,8
170,-2,-2,-2,-1,2,-2,2,1,2,2,-1,-1,2,-2,2,-1,1,2,-2,1,4,4,4,12
171,-2,-2,-2,-1,2,-2,2,2,-1,2,-2,-1,-2,1,-1,1,-1,-1,2,-1,3,3,101,9
172,-2,-2,-2,-1,2,-1,-2,-1,-2,-2,-2,1,1,1,1,1,2,2,1,-2,7,7,11,13
173,-2,-2,-2,-1,2,-1,-2,-1,-1,2,-2,-1,1,-1,1,2,-2,1,-1,1,3,3,5,11
174,-2,-2,-2,-1,2,-1,-2,1,-2,-2,-2,1,1,2,2,-1,-2,2,-1,2,6,4,10,8
175,-2,-2,-2,-1,2,-1,-2,2,-2,2,1,-2,-1,1,-2,1,-1,2,-1,2,2,2,2,2
176,-2,-2,-2,-1,2,-1,2,-1,-2,2,1,2,2,-2,-1,1,-1,2,-1,2,3,3,5,9
177,-2,-2,-2,-1,2,-1,2,2,-1,1,2,2,1,-1,-2,1,1,1,2,-2,5,5,7,11
178,-2,-2,-2,-1,2,1,-1,1,1,1,2,1,-2,-1,-1,1,1,2,2,-2,1,1,3,1
179,-2,-2,-2,-1,2,1,-1,1,2,-2,1,-1,-1,1,2,-1,1,1,1,-1,2,2,6,14
180,-2,-2,-2,-1,2,1,-1,2,2,2,-2,-2,-2,1,1,1,-1,2,-1,-2,3,3,73,7
181,-2,-2,-2,-1,2,1,1,-2,-2,2,-2,-2,2,1,2,-1,1,-1,-2,2,3,3,3,7
182,-2,-2,-2,-1,2,1,1,2,-2,1,1,2,-2,1,-2,-2,2,-1,1,1,3,3,5,7
183,-2,-2,-2,-1,2,2,-1,2,2,1,1,1,2,-2,2,-1,2,-1,2,2,2,2,8,6
184,-2,-2,-2,-1,2,2,1,-2,1,2,1,2,2,2,-1,-1,2,2,1,2,9,5,7,7
185,-2,-2,-2,-1,2,2,2,-2,2,-2,-2,1,1,-2,-1,-1,-1,-2,1,1,4,4,8,12
186,-2,-2,-2,-1,2,2,2,-1,1,1,2,-2,-1,-2,1,2,2,-2,2,-2,2,2,2,2
187,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,2,-1,1,1,-2,1,2,1,-2,4,4,12,8
188,-2,-2,-2,1,-2,-2,-2,-2,-1,2,-1,-2,-1,1,1,1,1,1,-2,1,103,4,10,6
189,-2,-2,-2,1,-2,-2,-2,-1,-1,2,-2,-2,1,-2,2,2,-1,-1,-1,-1,9,7,9,9
190,-2,-2,-2,1,-2,-2,2,1,2,2,1,2,1,2,2,-1,1,2,-1,1,3,3,9,7
191,-2,-2,-2,1,-2,-1,-2,-1,-2,1,-2,1,2,2,-2,2,1,1,2,-1,5,5,15,29
192,-2,-2,-2,1,-2,-1,-2,-1,1,1,2,1,-1,-1,2,1,-1,-1,-2,-1,3,3,25,17
193,-2,-2,-2,1,-2,-1,-2,2,2,2,-2,-1,-1,1,2,-2,1,-1,-1,-1,5,5,5,9
194,-2,-2,-2,1,-2,-1,-1,-2,-2,-1,-1,-2,2,2,1,2,1,2,2,-1,6,6,10,10
195,-2,-2,-2,1,-2,-1,-1,-2,-2,2,-2,-2,1,2,1,-1,1,-2,2,-1,5,5,7,5
196,-2,-2,-2,1,-2,-1,-1,-1,-2,-2,-1,2,-2,1,1,-2,2,2,1,2,2,2,8,8
197,-2,-2,-2,1,-2,-1,-1,1,-2,1,-1,1,-2,1,-1,-1,1,-1,-1,2,3,3,7,7
198,-2,-2,-2,1,-2,-1,-1,1,2,-2,2,1,-2,1,-1,-1,2,1,2,-1,3,3,7,41
199,-2,-2,-2,1,-2,-1,-1,2,-1,1,2,1,1,-1,2,1,-1,-2,-2,1,3,3,9,9
200,-2,-2,-2,1,-2,-1,1,1,-2,-2,-2,1,-1,1,2,-2,-1,1,-2,2,4,4,8,6
201,-2,-2,-2,1,-2,-1,2,2,2,-2,-1,1,-2,-1,2,2,-1,1,1,1,4,4,8,8
202,-2,-2,-2,1,-2,1,-1,2,-2,-2,1,-2,2,-1,-2,2,-1,-2,-2,2,3,3,7,3
203,-2,-2,-2,1,-2,1,1,2,1,1,-1,-2,2,2,1,-1,-2,1,-1,2,1,1,5,3
204,-2,-2,-2,1,-2,2,-2,-2,-1,-1,-1,1,1,-1,-2,-2,1,1,1,-2,7,5,7,7
205,-2,-2,-2,1,-2,2,-2,1,1,2,1,-2,-2,-2,-1,1,2,2,-1,-1,3,3,11,5
206,-2,-2,-2,1,-2,2,-1,1,-2,1,-1,2,-2,-1,2,-2,-1,2,-1,-2,3,3,9,3
207,-2,-2,-2,1,-2,2,-1,2,-2,-2,1,2,2,1,2,2,-2,-1,-1,2,2,2,8,2
208,-2,-2,-2,1,-2,2,1,-2,-2,1,-2,-1,1,-1,-1,1,-2,-1,1,1,4,4,10,8
209,-2,-2,-2,1,-2,2,2,-2,2,2,2,2,2,2,-1,-2,-2,2,-2,2,5,5,7,7
210,-2,-2,-2,1,-2,2,2,2,-2,1,2,2,2,2,-1,-1,-1,-2,1,2,7,5,9,7
211,-2,-2,-2,1,-1,-2,-2,1,2,2,-1,1,-1,-2,1,-1,2,1,-1,-2,4,4,4,4
212,-2,-2,-2,1,-1,-2,-1,-1,-1,-2,-2,-1,1,1,1,-1,-1,1,2,2,5,3,3,3
213,-2,-2,-2,1,-1,-2,1,2,-2,-1,-1,-1,-1,-2,1,-2,-1,1,-1,2,4,4,4,8
214,-2,-2,-2,1,-1,-1,-2,2,1,1,-2,1,-1,1,2,-2,-2,1,-1,-1,2,2,2,6
215,-2,-2,-2,1,-1,-1,-1,-2,2,2,2,-1,-1,-1,-1,2,-1,1,1,-1,3,3,7,9
216,-2,-2,-2,1,-1,-1,-1,2,2,2,-2,-1,-1,-1,-1,-2,-2,-2,-2,2,5,5,7,7
217,-2,-2,-2,1,-1,-1,1,1,-1,1,-2,1,-1,-1,2,-1,2,-1,-1,2,2,2,6,6
218,-2,-2,-2,1,-1,-1,2,-1,-2,-1,-1,2,1,-1,1,1,2,1,-1,1,1,1,1,9
219,-2,-2,-2,1,-1,-1,2,-1,2,-1,2,2,-1,2,1,2,2,-1,2,1,3,3,7,11
220,-2,-2,-2,1,-1,-1,2,2,2,-1,2,-1,-1,-1,2,1,1,-2,-2,-2,4,4,6,12
221,-2,-2,-2,1,-1,1,-1,-2,2,-2,-2,-2,2,-1,2,-1,-2,1,2,-2,5,5,7,9
222,-2,-2,-2,1,-1,1,1,-2,-1,-1,-2,-1,1,2,1,-2,1,-2,-1,-2,3,3,5,9
223,-2,-2,-2,1,-1,1,1,-2,-1,2,-1,-1,-2,-1,2,-1,-1,-1,-1,2,102,4,8,4
